tune,english.csv
bofoguta,"British Sign Language (bfi language)"
bofojota,"Bafanji (bfj language)"
bofokota,"Ban Khor Sign Language (bfk language)"
bofolota,"Banda-Ndélé (bfl language)"
bofomota,"Mmen (bfm language)"
bofonota,"Bunak (bfn language)"
bofoduta,"Malba Birifor (bfo language)"
bofopota,"Beba (bfp language)"
bofoputa,"Badaga (bfq language)"
boforota,"Bazigar (bfr language)"
bofosota,"Southern Bai (bfs language)"
bofotota,"Balti (bft language)"
bofobuta,"Gahri (bfu language)"
bofosuta,"Bondo (bfw language)"
bofoxota,"Bantayanon (bfx language)"
bofovuta,"Bagheli (bfy language)"
bofozota,"Mahasu Pahari (bfz language)"
bogomuta,"Gwamhi-Wuri (bga language)"
bogobota,"Bobongko (bgb language)"
bogotuta,"Haryanvi (bgc language)"
bogodota,"Rathwi Bareli (bgd language)"
bogonuta,"Bauria (bge language)"
bogofota,"Bangandu (bgf language)"
bogogota,"Bugun (bgg language)"
bogoguta,"Giangan (bgi language)"
bogojota,"Bangolan (bgj language)"
bogokota,"Bit (bgk language)"
bogokota,"Buxinhua (bgk language)"
bogolota,"Bo (Laos) (bgl language)"
bogonota,"Western Balochi (bgn language)"
bogoduta,"Baga Koga (bgo language)"
bogopota,"Eastern Balochi (bgp language)"
bogoputa,"Bagri (bgq language)"
bogorota,"Bawm Chin (bgr language)"
bogosota,"Tagabawa (bgs language)"
bogotota,"Bughotu (bgt language)"
bogobuta,"Mbongno (bgu language)"
bogovota,"Warkay-Bipim (bgv language)"
bogosuta,"Bhatri (bgw language)"
bogoxota,"Balkan Gagauz Turkish (bgx language)"
bogovuta,"Benggoi (bgy language)"
bogozota,"Banggai (bgz language)"
bohomuta,"Bharia (bha language)"
bohobota,"Bhili (bhb language)"
bohotuta,"Biga (bhc language)"
bohodota,"Bhadrawahi (bhd language)"
bohonuta,"Bhaya (bhe language)"
bohofota,"Odiai (bhf language)"
bohogota,"Binandere (bhg language)"
bohokuta,"Bukharic (bhh language)"
bohoguta,"Bhilali (bhi language)"
bohojota,"Bahing (bhj language)"
boholota,"Bimin (bhl language)"
bohomota,"Bathari (bhm language)"
bohonota,"Bohtan Neo-Aramaic (bhn language)"
bohoduta,"Bhojpuri (bho language)"
bohopota,"Bima (bhp language)"
bohoputa,"Tukang Besi South (bhq language)"
