term            parts                     how
invasion        invade + act              sense
inward          in + oriented             sense
ivy             wall + vine               sense
jackal          small + wild + dog        sense
jade            green + stone             sense
jellyfish       jelly + fish              sense
jupiter         king + planet             sense
kiln            fire + oven               sense
kingfisher      king + fish + bird        sense
lagoon          shut + sea                sense
lark            sing + sparrow            sense
legible         read + able               sense
length          long + measure            sense
leopard         spot + wild + cat         sense
lichen          stone + moss              sense
limestone       white + stone             sense
livelihood      live + way                sense
llama           mountain + hump + horse   sense
locust          swarm + bug               sense
loss            lose + act                sense
lotus           water + lily              sense
louse           hair + bug                sense
lunch           day + meal                sense
lynx            small + wild + cat        sense
lyre            string + music + tool     sense
magpie          black + white + crow      sense
malice          bad + intent              sense
maple           sweet + sap + tree        sense
marble          smooth + stone            sense
mars            war + planet              sense
mentor          teach + agent             sense
meow            cat + call                sense
merchant        trade + agent             sense
mercury         fast + planet             sense
meteor          fall + star               sense
mole            dirt + rat                sense
moo             cow + call                sense
moose           big + deer                sense
mule            mix + horse               sense
mushroom        cap + fungus              sense
naked           bare + body               sense
nebula          star + cloud              sense
neigh           horse + call              sense
neighbor        near + person             sense
nettle          sting + weed              sense
newt            water + lizard            sense
nightingale     night + sing + bird       sense
nineteen        ten + nine                sense
ninety          nine + ten                sense
ninth           nine + order              sense
northward       north + oriented          sense
noun            object + term             sense
novice          new + agent               sense
nymph           water + spirit            sense
oasis           water + desert            sense
obelisk         needle + pillar           sense
obsidian        glass + rock              sense
oink            pig + call                sense
omission        omit + act                sense
onward          on + oriented             sense
opal            shine + gem               sense
orchid          rare + flower             sense
orientation     orient + act              sense
orphan          no + parent + child       sense
ostrich         big + run + bird          sense
otter           river + weasel            sense
outward         out + oriented            sense
ox              work + cow                sense
oxygen          breath + gas              sense
oyster          pearl + clam              sense
pancreas        gut + gland               sense
panther         dark + wild + cat         sense
parrot          talk + bird               sense
peacock         fan + tail + bird         sense
pearl           shell + gem               sense
pelican         bag + throat + bird       sense
penguin         ice + swim + bird         sense
perception      perceive + act            sense
permission      permit + act              sense
persuasion      persuade + act            sense
petroleum       rock + oil                sense
philosophy      wisdom + love             sense
phoenix         fire + bird               sense
phrase          word + group              sense
physics         matter + study            sense
pigeon          town + dove               sense
pilgrimage      holy + journey            sense
placenta        birth + organ             sense
poem            art + word + work         sense
poet            art + word + agent        sense
polarity        polar + nature            sense
poppy           sleep + flower            sense
population      populate + act            sense
possibility     possible + nature         sense
possible        can + able                sense
potter          pot + make + agent        sense
poverty         poor + state              sense
pox             skin + disease            sense
prairie         grass + plain             sense
pregnancy       pregnant + state          sense
preposition     relation + term           sense
prescription    prescribe + act           sense
president       lead + agent              sense
priest          holy + agent              sense
primary         first + like              sense
probability     probable + nature         sense
production      produce + act             sense
pronoun         swap + term               sense
pronunciation   pronounce + act           sense
proof           prove + act               sense
prostate        seed + gland              sense
provision       provide + act             sense
purr            cat + hum                 sense
pyramid         point + tomb              sense
quack           duck + call               sense
quarrel         word + fight              sense
quarter         four + part               sense
quartz          clear + crystal           sense
rabbit          small + hare              sense
rampart         war + wall                sense
raven           big + crow                sense
ravine          narrow + valley           sense
reception       receive + act             sense
reduction       reduce + act              sense
reef            coral + ridge             sense
reindeer        snow + deer               sense
revision        revise + act              sense
rhino           horn + beast              sense
robin           red + chest + sparrow     sense
ruby            red + gem                 sense
saga            long + story              sense
sailor          sail + agent              sense
sale            sell + act                sense
salmon          river + climb + fish      sense
sandstone       sand + stone              sense
sapphire        blue + gem                sense
saturn          ring + planet             sense
scorpion        sting + tail + spider     sense
seat            sit + thing               sense
second          two + order               sense
sentence        thought + line            sense
seventeen       ten + seven               sense
